status_id;category
1030219056790609920;DOUBTFUL
1036414253425672193;NON_SEXIST
1056979184390553600;NON_SEXIST
1067395010059018240;NON_SEXIST
1049436217648041985;SEXIST
1043233850846076928;NON_SEXIST
1060676161058103297;NON_SEXIST
1047225018424467457;DOUBTFUL
1032825767078580225;DOUBTFUL
1049428000029196288;DOUBTFUL
1027260780637351936;NON_SEXIST
1052665573010751502;SEXIST
1024794424252030976;NON_SEXIST
1053700712100716546;NON_SEXIST
1015249783408164864;NON_SEXIST
1050864924367433729;SEXIST
1036912874113916928;NON_SEXIST
1042499657346293760;NON_SEXIST
1015620442810445825;SEXIST
1015422019943501824;SEXIST
1062844385501560833;NON_SEXIST
1040026182991994880;SEXIST
1052925063824109568;SEXIST
1050626947061972992;SEXIST
1059933004473253888;SEXIST
1078004563679109120;NON_SEXIST
1021596838875549697;SEXIST
1051109989786537984;SEXIST
1015025678608207873;DOUBTFUL
1055955536808677376;NON_SEXIST
1013833378439794690;NON_SEXIST
1039556988257099777;NON_SEXIST
1017541118530084865;NON_SEXIST
1015299047718916097;SEXIST
1033697649323429888;NON_SEXIST
1027097317021757445;NON_SEXIST
1030134555917930497;SEXIST
1058219240157630466;SEXIST
1027919276127252480;NON_SEXIST
1018568224231886851;NON_SEXIST
1017792782730227712;NON_SEXIST
1047637130363772928;SEXIST
1033055664514494465;NON_SEXIST
1043837372692131841;NON_SEXIST
1022175889101135872;SEXIST
1014542386213588992;SEXIST
1070288801099071490;SEXIST
1047012555368140800;SEXIST
1022089612586639360;NON_SEXIST
1026531094877954048;SEXIST
1020089446425915392;NON_SEXIST
1046513452716576768;NON_SEXIST
1054201152257081345;NON_SEXIST
1065722422626852864;SEXIST
1045947494335737856;SEXIST
1065741192380538881;DOUBTFUL
1056657467856379904;NON_SEXIST
1022838366008696833;NON_SEXIST
1067154996192514050;NON_SEXIST
1060340271576166400;SEXIST
1035298334121107458;NON_SEXIST
1070911201314566144;NON_SEXIST
1062805147259228163;SEXIST
1044704881255370763;NON_SEXIST
1052983218276880384;NON_SEXIST
1014284801455677441;NON_SEXIST
1021609110314381313;NON_SEXIST
1029931498428760067;SEXIST
1038991117713330177;DOUBTFUL
1050506062300889088;NON_SEXIST
1059906589723951110;NON_SEXIST
1064272372910497793;NON_SEXIST
1054037666646376448;SEXIST
1043638119176851456;SEXIST
1016566573832777728;SEXIST
1040666730371207170;NON_SEXIST
1023881718363836416;NON_SEXIST
1055581200406974465;NON_SEXIST
1039979330703695873;NON_SEXIST
1042185248535044096;NON_SEXIST
1017457441280176128;NON_SEXIST
1025130617212690433;NON_SEXIST
1020083651739078657;DOUBTFUL
1028154478309060620;SEXIST
1064674277784457216;NON_SEXIST
1065001968450576385;SEXIST
1070801683075207168;DOUBTFUL
1074774675807338496;SEXIST
1040706206019608582;NON_SEXIST
1071218778359386112;NON_SEXIST
1044578989304475648;NON_SEXIST
1044720796520910849;SEXIST
1021893929346715653;SEXIST
1060631483432517632;NON_SEXIST
1044670358383726592;NON_SEXIST
1021088695074607104;SEXIST
1027142481840939010;DOUBTFUL
1033730261022908418;NON_SEXIST
1075216669549711361;NON_SEXIST
1058104529567260672;SEXIST
1060146517766537216;SEXIST
1035698297032331264;NON_SEXIST
1045691845630734336;NON_SEXIST
1021831399505113088;NON_SEXIST
1044717508698271746;NON_SEXIST
1073713009095307269;SEXIST
1016387446613925889;DOUBTFUL
1055602909793173505;NON_SEXIST
1056064787791179776;SEXIST
1046833628012056576;NON_SEXIST
1075446131662958592;NON_SEXIST
1048208983868231681;SEXIST
1051191507166859266;NON_SEXIST
1026213190022164480;NON_SEXIST
1050493193756844037;NON_SEXIST
1055218588771147776;NON_SEXIST
1028460569073012736;SEXIST
1035888992321982464;NON_SEXIST
1055581596030525440;DOUBTFUL
1024286279264075776;NON_SEXIST
1038935654963531776;NON_SEXIST
1015682930692280320;NON_SEXIST
1048341749612138496;NON_SEXIST
1014279838021160960;NON_SEXIST
1043309275278401536;DOUBTFUL
1077916115286851585;NON_SEXIST
1050005584295186432;NON_SEXIST
1019356467290365952;NON_SEXIST
1027878833930870784;NON_SEXIST
1047466914103136256;DOUBTFUL
1054751483248459777;SEXIST
1025114800668516357;NON_SEXIST
1050416494524420096;SEXIST
1043316840523603968;NON_SEXIST
1013926741188935681;NON_SEXIST
1051700332995076096;NON_SEXIST
1018952226604118017;NON_SEXIST
1069310245107888136;NON_SEXIST
1043350294011232256;NON_SEXIST
1015731593401589760;SEXIST
1038882078534905857;NON_SEXIST
1068159581728268289;NON_SEXIST
1014293024162054144;SEXIST
1033077185962303489;NON_SEXIST
1029505416651321344;DOUBTFUL
1054430476327378946;SEXIST
1050411722245312512;SEXIST
1070125798722625536;SEXIST
1063827025469820928;NON_SEXIST
1016005374695104512;SEXIST
